Voltage : 14.83 V | Pitch angle : 59.00° | Yaw angle : -13.25° | Pitch_current : 3.92 A | Yaw_current : 3.30 A
Voltage : 13.97 V | Pitch angle : 59.00° | Yaw angle : -13.50° | Pitch_current : 3.91 A | Yaw_current : 3.29 A
Voltage : 14.35 V | Pitch angle : 59.00° | Yaw angle : -13.75° | Pitch_current : 3.52 A | Yaw_current : 3.25 A
Voltage : 13.24 V | Pitch angle : 59.00° | Yaw angle : -14.00° | Pitch_current : 3.51 A | Yaw_current : 3.04 A
Voltage : 13.39 V | Pitch angle : 59.00° | Yaw angle : -14.25° | Pitch_current : 3.22 A | Yaw_current : 2.98 A
Voltage : 13.19 V | Pitch angle : 59.00° | Yaw angle : -14.25° | Pitch_current : 3.14 A | Yaw_current : 2.88 A
Voltage : 13.19 V | Pitch angle : 59.00° | Yaw angle : -14.00° | Pitch_current : 3.08 A | Yaw_current : 2.61 A
Voltage : 13.19 V | Pitch angle : 59.00° | Yaw angle : -13.75° | Pitch_current : 3.15 A | Yaw_current : 2.61 A
Voltage : 12.58 V | Pitch angle : 59.00° | Yaw angle : -13.50° | Pitch_current : 3.18 A | Yaw_current : 2.58 A
Voltage : 13.11 V | Pitch angle : 59.00° | Yaw angle : -13.25° | Pitch_current : 3.07 A | Yaw_current : 2.53 A
Voltage : 12.99 V | Pitch angle : 59.00° | Yaw angle : -13.00° | Pitch_current : 3.30 A | Yaw_current : 2.44 A
Voltage : 13.19 V | Pitch angle : 59.00° | Yaw angle : -13.00° | Pitch_current : 3.33 A | Yaw_current : 2.38 A
Voltage : 14.15 V | Pitch angle : 59.00° | Yaw angle : -13.00° | Pitch_current : 3.30 A | Yaw_current : 2.24 A
Voltage : 14.91 V | Pitch angle : 59.00° | Yaw angle : -13.25° | Pitch_current : 3.17 A | Yaw_current : 2.13 A
Voltage : 15.19 V | Pitch angle : 59.00° | Yaw angle : -13.50° | Pitch_current : 2.96 A | Yaw_current : 2.11 A
Voltage : 14.63 V | Pitch angle : 59.00° | Yaw angle : -13.75° | Pitch_current : 3.02 A | Yaw_current : 1.96 A
Voltage : 14.53 V | Pitch angle : 59.00° | Yaw angle : -14.00° | Pitch_current : 3.05 A | Yaw_current : 1.79 A
Voltage : 14.05 V | Pitch angle : 59.00° | Yaw angle : -14.25° | Pitch_current : 3.01 A | Yaw_current : 1.94 A
Voltage : 14.00 V | Pitch angle : 59.00° | Yaw angle : -14.50° | Pitch_current : 3.02 A | Yaw_current : 1.86 A
Voltage : 13.59 V | Pitch angle : 59.00° | Yaw angle : -14.75° | Pitch_current : 2.98 A | Yaw_current : 1.80 A
Voltage : 13.72 V | Pitch angle : 59.00° | Yaw angle : -15.00° | Pitch_current : 2.93 A | Yaw_current : 1.77 A
Voltage : 13.42 V | Pitch angle : 59.00° | Yaw angle : -15.00° | Pitch_current : 3.06 A | Yaw_current : 1.89 A
Voltage : 13.24 V | Pitch angle : 59.00° | Yaw angle : -15.00° | Pitch_current : 3.04 A | Yaw_current : 1.94 A
Voltage : 12.89 V | Pitch angle : 59.00° | Yaw angle : -15.00° | Pitch_current : 3.05 A | Yaw_current : 1.86 A
Voltage : 13.39 V | Pitch angle : 59.00° | Yaw angle : -15.00° | Pitch_current : 2.92 A | Yaw_current : 1.89 A
Voltage : 13.21 V | Pitch angle : 59.00° | Yaw angle : -15.00° | Pitch_current : 2.96 A | Yaw_current : 1.79 A
Voltage : 13.62 V | Pitch angle : 59.00° | Yaw angle : -14.75° | Pitch_current : 2.93 A | Yaw_current : 1.90 A
Voltage : 13.75 V | Pitch angle : 59.00° | Yaw angle : -14.75° | Pitch_current : 2.96 A | Yaw_current : 1.87 A
Voltage : 13.85 V | Pitch angle : 59.00° | Yaw angle : -14.50° | Pitch_current : 3.05 A | Yaw_current : 1.78 A
Voltage : 15.01 V | Pitch angle : 59.00° | Yaw angle : -14.50° | Pitch_current : 3.01 A | Yaw_current : 1.84 A
Voltage : 14.73 V | Pitch angle : 59.00° | Yaw angle : -14.50° | Pitch_current : 2.92 A | Yaw_current : 1.83 A
Voltage : 15.16 V | Pitch angle : 59.00° | Yaw angle : -14.50° | Pitch_current : 2.96 A | Yaw_current : 1.78 A
