Voltage : 12.86 V | Pitch angle : 57.25° | Yaw angle : -3.75° | Pitch_current : 3.89 A | Yaw_current : 3.31 A
Voltage : 12.86 V | Pitch angle : 57.25° | Yaw angle : -4.00° | Pitch_current : 4.01 A | Yaw_current : 3.32 A
Voltage : 12.91 V | Pitch angle : 57.25° | Yaw angle : -4.25° | Pitch_current : 4.01 A | Yaw_current : 3.06 A
Voltage : 12.94 V | Pitch angle : 57.25° | Yaw angle : -4.75° | Pitch_current : 4.14 A | Yaw_current : 2.97 A
Voltage : 12.56 V | Pitch angle : 57.25° | Yaw angle : -5.00° | Pitch_current : 4.11 A | Yaw_current : 2.74 A
Voltage : 12.43 V | Pitch angle : 57.25° | Yaw angle : -5.25° | Pitch_current : 3.82 A | Yaw_current : 2.81 A
Voltage : 13.37 V | Pitch angle : 57.25° | Yaw angle : -5.50° | Pitch_current : 3.68 A | Yaw_current : 2.58 A
Voltage : 13.37 V | Pitch angle : 57.25° | Yaw angle : -5.75° | Pitch_current : 3.38 A | Yaw_current : 2.39 A
Voltage : 13.34 V | Pitch angle : 57.25° | Yaw angle : -6.00° | Pitch_current : 3.24 A | Yaw_current : 2.37 A
Voltage : 13.72 V | Pitch angle : 57.25° | Yaw angle : -6.25° | Pitch_current : 3.17 A | Yaw_current : 2.28 A
Voltage : 13.06 V | Pitch angle : 57.25° | Yaw angle : -6.50° | Pitch_current : 2.97 A | Yaw_current : 2.22 A
Voltage : 3.65 V | Pitch angle : 57.25° | Yaw angle : -6.75° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 2.84 V | Pitch angle : 57.25° | Yaw angle : -6.75° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 2.30 V | Pitch angle : 57.00° | Yaw angle : -6.75° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 2.03 V | Pitch angle : 56.75° | Yaw angle : -6.50° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 1.87 V | Pitch angle : 56.50° | Yaw angle : -6.00° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 1.72 V | Pitch angle : 55.50° | Yaw angle : -5.75° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 1.59 V | Pitch angle : 54.00° | Yaw angle : -5.25° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 1.47 V | Pitch angle : 51.75° | Yaw angle : -4.50° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 1.39 V | Pitch angle : 48.75° | Yaw angle : -4.00° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 1.29 V | Pitch angle : 44.75° | Yaw angle : -3.25° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 1.19 V | Pitch angle : 39.75° | Yaw angle : -2.25° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 1.14 V | Pitch angle : 33.75° | Yaw angle : -1.50° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 1.06 V | Pitch angle : 26.75° | Yaw angle : -0.25° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
